city,country,iso2,lat,lng,country_code,aqi_level,co,no,no2,o3,so2,pm2_5,pm10,nh3,current_temp,feels_like,min_temp,max_temp,pressure,humidity,visibility,wind_speed,wind_angle,wind_direction
Nantong,China,CN,31.9829,120.8873,"Nantong,CN",Very Poor,1548.77,54.09,80.88,4.16,109.67,98.69,143.09,0,79.05199999999998,79.05199999999998,78.96199999999996,79.96999999999997,1004,79,10000,2.73,219,South South West
Yancheng,China,CN,33.3936,120.1339,"Yancheng,CN",Poor,540.73,0.25,28.79,13.41,30.99,37.22,40.85,1.46,70.98799999999994,72.35599999999994,70.98799999999994,70.98799999999994,1008,97,6882,4.2,360,North North West
Nanning,China,CN,22.8192,108.315,"Nanning,CN",Poor,427.25,9.39,21.59,3.8,29.56,45.81,54.29,3.64,75.63199999999992,76.45999999999998,75.63199999999992,75.63199999999992,1010,76,10000,1.06,236,West South West
Xi’an,China,CN,34.2667,108.9,"Xi’an,CN",Very Poor,2616.88,187.76,23.65,0.01,34.33,251.08,273.9,12.29,63.391999999999996,63.24799999999992,63.391999999999996,63.391999999999996,1014,81,10000,0.49,197,South South West
Shenyang,China,CN,41.8039,123.4258,"Shenyang,CN",Very Poor,1308.44,48.28,58.95,0.45,91.55,95.88,122.52,0.25,65.87599999999999,66.63199999999992,62.6,67.02799999999996,993,95,10000,0.45,180,South South West
Tangshan,China,CN,39.6292,118.1742,"Tangshan,CN",Very Poor,867.84,22.8,41.47,2.3,12.52,76.93,98.98,7.73,64.47199999999994,64.23799999999994,64.47199999999994,64.47199999999994,1010,77,10000,2.39,282,West North West
Santiago,Chile,CL,-33.45,-70.6667,"Santiago,CL",Very Poor,2777.1,3.16,58.26,4.74,10.01,145.91,194.05,41.54,73.00399999999996,71.09599999999995,68.93599999999998,74.62399999999991,1017,23,10000,2.06,190,South South West
Zhengzhou,China,CN,34.7492,113.6605,"Zhengzhou,CN",Very Poor,694.28,9.05,54.84,19.85,45.78,79.41,91.08,2.76,59.46799999999999,58.92799999999997,59.46799999999999,59.46799999999999,1010,81,10000,1.64,232,West South West
Shangqiu,China,CN,34.4259,115.6467,"Shangqiu,CN",Very Poor,720.98,10.51,23.31,5.01,14.19,86.94,94.42,3.99,64.4,64.57999999999994,64.4,64.4,1011,86,10000,1.26,248,West South West
Yantai,China,CN,37.3997,121.2664,"Yantai,CN",Good,317.1,0.38,5.83,77.25,2.33,8.59,14.02,0.36,69.70999999999998,70.28599999999997,69.70999999999998,69.70999999999998,1009,83,10000,3.65,342,North North West
